REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCOABGDXX,CO2BGD,2023,41.49647062829537
GLOBAL,PWRCOABGDXX,CO2BGD,2024,41.49647062829537
GLOBAL,PWRCOABGDXX,CO2BGD,2025,51.13492588596735
GLOBAL,PWRCOABGDXX,CO2BGD,2026,51.13492588596732
GLOBAL,PWRCOABGDXX,CO2BGD,2027,51.134925885967334
GLOBAL,PWRCOABGDXX,CO2BGD,2028,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2029,51.13492588596732
GLOBAL,PWRCOABGDXX,CO2BGD,2030,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2031,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2032,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2033,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2034,51.134925885967334
GLOBAL,PWRCOABGDXX,CO2BGD,2035,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2036,51.13492588596734
GLOBAL,PWRCOABGDXX,CO2BGD,2037,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2038,51.13492588596732
GLOBAL,PWRCOABGDXX,CO2BGD,2039,51.134925885967334
GLOBAL,PWRCOABGDXX,CO2BGD,2040,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2041,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2042,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2043,51.13492588596734
GLOBAL,PWRCOABGDXX,CO2BGD,2044,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2045,51.134925885967334
GLOBAL,PWRCOABGDXX,CO2BGD,2046,51.13492588596732
GLOBAL,PWRCOABGDXX,CO2BGD,2047,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2048,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2049,51.13492588596733
GLOBAL,PWRCOABGDXX,CO2BGD,2050,51.134925885967334
GLOBAL,PWRCOAINDEA,CO2IND,2023,250.95790282580026
GLOBAL,PWRCOAINDEA,CO2IND,2024,265.05363068912413
GLOBAL,PWRCOAINDEA,CO2IND,2025,260.72490503581326
GLOBAL,PWRCOAINDEA,CO2IND,2026,276.05684311963137
GLOBAL,PWRCOAINDEA,CO2IND,2027,295.89104038070434
GLOBAL,PWRCOAINDEA,CO2IND,2028,321.6405438463533
GLOBAL,PWRCOAINDEA,CO2IND,2029,342.8157358065792
GLOBAL,PWRCOAINDEA,CO2IND,2030,358.9921488894927
GLOBAL,PWRCOAINDEA,CO2IND,2031,360.48778868661424
GLOBAL,PWRCOAINDEA,CO2IND,2032,360.4877886866143
GLOBAL,PWRCOAINDEA,CO2IND,2033,360.4877886866143
GLOBAL,PWRCOAINDEA,CO2IND,2034,385.9657345908683
GLOBAL,PWRCOAINDEA,CO2IND,2035,445.16711173898574
GLOBAL,PWRCOAINDEA,CO2IND,2036,470.6450576432397
GLOBAL,PWRCOAINDEA,CO2IND,2037,499.4438768178668
GLOBAL,PWRCOAINDEA,CO2IND,2038,528.242695992494
GLOBAL,PWRCOAINDEA,CO2IND,2039,557.041515167121
GLOBAL,PWRCOAINDEA,CO2IND,2040,585.8403343417483
GLOBAL,PWRCOAINDEA,CO2IND,2041,614.6391535163754
GLOBAL,PWRCOAINDEA,CO2IND,2042,647.4900271492871
GLOBAL,PWRCOAINDEA,CO2IND,2043,681.8371345927088
GLOBAL,PWRCOAINDEA,CO2IND,2044,717.74895505155
GLOBAL,PWRCOAINDEA,CO2IND,2045,755.2961767373313
GLOBAL,PWRCOAINDEA,CO2IND,2046,794.5539058747925
GLOBAL,PWRCOAINDEA,CO2IND,2047,835.5994576952838
GLOBAL,PWRCOAINDEA,CO2IND,2048,878.5145654433759
GLOBAL,PWRCOAINDEA,CO2IND,2049,921.9987335244543
GLOBAL,PWRCOAINDEA,CO2IND,2050,937.0474830688753
GLOBAL,PWRCOAINDNE,CO2IND,2023,5.798535917048639
GLOBAL,PWRCOAINDNE,CO2IND,2024,5.79853591704864
GLOBAL,PWRCOAINDNE,CO2IND,2025,5.798535917048639
GLOBAL,PWRCOAINDNE,CO2IND,2026,4.920819796720935
GLOBAL,PWRCOAINDNE,CO2IND,2027,5.541056623776452
GLOBAL,PWRCOAINDNE,CO2IND,2028,6.084508153481732
GLOBAL,PWRCOAINDNE,CO2IND,2029,6.144928888313274
GLOBAL,PWRCOAINDNE,CO2IND,2030,6.719916729025795
GLOBAL,PWRCOAINDNE,CO2IND,2031,8.334428958104578
GLOBAL,PWRCOAINDNE,CO2IND,2032,8.847019533171682
GLOBAL,PWRCOAINDNE,CO2IND,2033,9.359610108238778
GLOBAL,PWRCOAINDNE,CO2IND,2034,9.87220068330588
GLOBAL,PWRCOAINDNE,CO2IND,2035,9.75382402040256
GLOBAL,PWRCOAINDNE,CO2IND,2036,10.89738183344008
GLOBAL,PWRCOAINDNE,CO2IND,2037,11.498110154446323
GLOBAL,PWRCOAINDNE,CO2IND,2038,12.098838475452558
GLOBAL,PWRCOAINDNE,CO2IND,2039,12.698793658336523
GLOBAL,PWRCOAINDNE,CO2IND,2040,13.299521979342767
GLOBAL,PWRCOAINDNE,CO2IND,2041,13.900250300349004
GLOBAL,PWRCOAINDNE,CO2IND,2042,14.586023814805285
GLOBAL,PWRCOAINDNE,CO2IND,2043,15.30349599227477
GLOBAL,PWRCOAINDNE,CO2IND,2044,16.054213109002
GLOBAL,PWRCOAINDNE,CO2IND,2045,16.83972144123153
GLOBAL,PWRCOAINDNE,CO2IND,2046,17.661567265207886
GLOBAL,PWRCOAINDNE,CO2IND,2047,18.521296857175624
GLOBAL,PWRCOAINDNE,CO2IND,2048,19.421229631501575
GLOBAL,PWRCOAINDNE,CO2IND,2049,20.362911864430274
GLOBAL,PWRCOAINDNE,CO2IND,2050,21.34788983220627
GLOBAL,PWRCOAINDNO,CO2IND,2023,327.3993468188634
GLOBAL,PWRCOAINDNO,CO2IND,2024,341.2032287838125
GLOBAL,PWRCOAINDNO,CO2IND,2025,341.2032287838125
GLOBAL,PWRCOAINDNO,CO2IND,2026,327.04222250093125
GLOBAL,PWRCOAINDNO,CO2IND,2027,326.8781142645241
GLOBAL,PWRCOAINDNO,CO2IND,2028,339.8489498889711
GLOBAL,PWRCOAINDNO,CO2IND,2029,358.22286200197533
GLOBAL,PWRCOAINDNO,CO2IND,2030,360.0141591769882
GLOBAL,PWRCOAINDNO,CO2IND,2031,363.9674690558821
GLOBAL,PWRCOAINDNO,CO2IND,2032,391.6401556454389
GLOBAL,PWRCOAINDNO,CO2IND,2033,419.3128422349958
GLOBAL,PWRCOAINDNO,CO2IND,2034,446.98552882455266
GLOBAL,PWRCOAINDNO,CO2IND,2035,466.0141825501992
GLOBAL,PWRCOAINDNO,CO2IND,2036,493.68686913975625
GLOBAL,PWRCOAINDNO,CO2IND,2037,523.7795581347067
GLOBAL,PWRCOAINDNO,CO2IND,2038,553.872247129657
GLOBAL,PWRCOAINDNO,CO2IND,2039,583.9649361246074
GLOBAL,PWRCOAINDNO,CO2IND,2040,612.7118567975916
GLOBAL,PWRCOAINDNO,CO2IND,2041,642.754702521358
GLOBAL,PWRCOAINDNO,CO2IND,2042,676.5060364070939
GLOBAL,PWRCOAINDNO,CO2IND,2043,711.6447986623532
GLOBAL,PWRCOAINDNO,CO2IND,2044,747.7581084586716
GLOBAL,PWRCOAINDNO,CO2IND,2045,784.6205551815904
GLOBAL,PWRCOAINDNO,CO2IND,2046,824.1224634889958
GLOBAL,PWRCOAINDNO,CO2IND,2047,865.2186125448671
GLOBAL,PWRCOAINDNO,CO2IND,2048,907.9729802793806
GLOBAL,PWRCOAINDNO,CO2IND,2049,952.4532642698156
GLOBAL,PWRCOAINDNO,CO2IND,2050,998.7286499522929
GLOBAL,PWRCOAINDSO,CO2IND,2023,196.74904403115104
GLOBAL,PWRCOAINDSO,CO2IND,2024,206.40677189054432
GLOBAL,PWRCOAINDSO,CO2IND,2025,189.05575939495588
GLOBAL,PWRCOAINDSO,CO2IND,2026,201.9654272358441
GLOBAL,PWRCOAINDSO,CO2IND,2027,212.74056105527555
GLOBAL,PWRCOAINDSO,CO2IND,2028,231.41582342673496
GLOBAL,PWRCOAINDSO,CO2IND,2029,239.6215338632834
GLOBAL,PWRCOAINDSO,CO2IND,2030,249.40108174815833
GLOBAL,PWRCOAINDSO,CO2IND,2031,258.6291425655183
GLOBAL,PWRCOAINDSO,CO2IND,2032,273.7037312024002
GLOBAL,PWRCOAINDSO,CO2IND,2033,304.2751703499705
GLOBAL,PWRCOAINDSO,CO2IND,2034,313.6577033971616
GLOBAL,PWRCOAINDSO,CO2IND,2035,298.450540572828
GLOBAL,PWRCOAINDSO,CO2IND,2036,306.8532821958849
GLOBAL,PWRCOAINDSO,CO2IND,2037,317.51434678828946
GLOBAL,PWRCOAINDSO,CO2IND,2038,329.1728375576463
GLOBAL,PWRCOAINDSO,CO2IND,2039,342.7480961403749
GLOBAL,PWRCOAINDSO,CO2IND,2040,361.7223231301029
GLOBAL,PWRCOAINDSO,CO2IND,2041,380.06833383758436
GLOBAL,PWRCOAINDSO,CO2IND,2042,396.7799433582444
GLOBAL,PWRCOAINDSO,CO2IND,2043,413.7181013395917
GLOBAL,PWRCOAINDSO,CO2IND,2044,434.4177283893312
GLOBAL,PWRCOAINDSO,CO2IND,2045,456.3917823790135
GLOBAL,PWRCOAINDSO,CO2IND,2046,479.3805490667773
GLOBAL,PWRCOAINDSO,CO2IND,2047,499.3926130769482
GLOBAL,PWRCOAINDSO,CO2IND,2048,518.8235150841813
GLOBAL,PWRCOAINDSO,CO2IND,2049,554.821411141764
GLOBAL,PWRCOAINDSO,CO2IND,2050,612.5798196151813
GLOBAL,PWRCOAINDWE,CO2IND,2023,356.4837015580641
GLOBAL,PWRCOAINDWE,CO2IND,2024,376.3510219709242
GLOBAL,PWRCOAINDWE,CO2IND,2025,399.1545575979047
GLOBAL,PWRCOAINDWE,CO2IND,2026,412.8549227484561
GLOBAL,PWRCOAINDWE,CO2IND,2027,441.52480761411994
GLOBAL,PWRCOAINDWE,CO2IND,2028,466.42890199208927
GLOBAL,PWRCOAINDWE,CO2IND,2029,502.0448348517024
GLOBAL,PWRCOAINDWE,CO2IND,2030,517.0678133045254
GLOBAL,PWRCOAINDWE,CO2IND,2031,559.0244347570348
GLOBAL,PWRCOAINDWE,CO2IND,2032,588.493261992329
GLOBAL,PWRCOAINDWE,CO2IND,2033,612.5597265054728
GLOBAL,PWRCOAINDWE,CO2IND,2034,628.6403837301101
GLOBAL,PWRCOAINDWE,CO2IND,2035,650.2105377792545
GLOBAL,PWRCOAINDWE,CO2IND,2036,668.2845673752724
GLOBAL,PWRCOAINDWE,CO2IND,2037,691.9094931742383
GLOBAL,PWRCOAINDWE,CO2IND,2038,707.1334869225069
GLOBAL,PWRCOAINDWE,CO2IND,2039,724.8095538246112
GLOBAL,PWRCOAINDWE,CO2IND,2040,748.4284551056955
