domain,segment,tech_or_family,parameter,unit,live_solved,v18_sourced,costdb,live==v18,confidence,gap_flag,refs_citation,costdb_source
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDEA,CapitalCost,USD/kW,292.487,380,380,False,High,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Asian Development Bank (ADB), ""Bangladesh–India Grid Interconnection Pr…",ADB Bheramara B2B ~$193m/500MW + expansion
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDEA,FixedCost,USD/kW/yr,1.024,5.7,5.7,False,High,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Asian Development Bank (ADB), ""Bangladesh–India Grid Interconnection Pr…",ADB Bheramara B2B ~$193m/500MW + expansion
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDEA,OperationalLife,years,50.0,40,40,False,High,SOURCED | LIVE≠v18(stale?),"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",ADB Bheramara B2B ~$193m/500MW + expansion
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDEA,ResidualCapacity,GW,2.5,2.496–4.496 (varies),,False,High,SOURCED | LIVE≠v18(stale?),"Power Grid Company of Bangladesh (PGCB), ""Transmission Information,"" PGCB, Dhaka, Bangladesh, Dec. 2025. [Online]. Available: https://www.pgcb.gov.bd/ Bangladesh Power Development …",ADB Bheramara B2B ~$193m/500MW + expansion
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDEA,CapacityFactor,fraction,,0.85,,,High,SOURCED,"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",ADB Bheramara B2B ~$193m/500MW + expansion
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDNE,CapitalCost,USD/kW,331.437,250,250,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Asian Development Bank (ADB), ""Bangladesh–India Grid Interconnection Pr…",Tripura-Comilla ~$26m/100MW (public reporting)
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDNE,FixedCost,USD/kW/yr,1.16,3.8,3.8,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Asian Development Bank (ADB), ""Bangladesh–India Grid Interconnection Pr…",Tripura-Comilla ~$26m/100MW (public reporting)
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDNE,OperationalLife,years,50.0,40,40,False,Medium,SOURCED | LIVE≠v18(stale?),"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",Tripura-Comilla ~$26m/100MW (public reporting)
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDNE,ResidualCapacity,GW,0.16,0.16–2.66 (varies),,False,Medium,SOURCED | LIVE≠v18(stale?),"Power Grid Company of Bangladesh (PGCB), ""Transmission Information,"" PGCB, Dhaka, Bangladesh, Dec. 2025. [Online]. Available: https://www.pgcb.gov.bd/ Bangladesh Power Development …",Tripura-Comilla ~$26m/100MW (public reporting)
INTERCONNECTOR,cross-border-overhead,TRNBGDXXINDNE,CapacityFactor,fraction,,0.8,,,Medium,SOURCED,"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",Tripura-Comilla ~$26m/100MW (public reporting)
INTERCONNECTOR,cross-border-via-India,TRNBTNXXBGDXX,CapitalCost,USD/kW,500.0,500,,True,,GAP-no-citation,[Pending — corridor not in SoAsia_OSTRAM_Cost_Database.xlsx],
INTERCONNECTOR,cross-border-via-India,TRNBTNXXBGDXX,FixedCost,USD/kW/yr,7.5,7.5,,True,,GAP-no-citation,[Pending — corridor not in SoAsia_OSTRAM_Cost_Database.xlsx],
INTERCONNECTOR,cross-border-via-India,TRNBTNXXBGDXX,OperationalLife,years,40.0,40,,True,,SOURCED,"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",
INTERCONNECTOR,cross-border-via-India,TRNBTNXXBGDXX,ResidualCapacity,GW,0.0,0–0.75 (varies),,False,,SOURCED | LIVE≠v18(stale?),"Power Grid Company of Bangladesh (PGCB), ""Transmission Information,"" PGCB, Dhaka, Bangladesh, Dec. 2025. [Online]. Available: https://www.pgcb.gov.bd/ Bangladesh Power Development …",
INTERCONNECTOR,cross-border-via-India,TRNBTNXXBGDXX,CapacityFactor,fraction,,0.8,,,,SOURCED,"Power Division, MoPEMR / JICA / IEEJ, ""Integrated Energy and Power Master Plan (IEPMP) 2023,"" Government of the People's Republic of Bangladesh, Dhaka, Nov. 2023. [Online]. Availab…",
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDEA,CapitalCost,USD/kW,432.455,150,150,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Bhutan Power Corporation Limited (BPC), ""Power Data Book 2024,"" BPC, Th…",Indian 220/400 kV overhead unit costs
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDEA,FixedCost,USD/kW/yr,1.514,2.2,2.2,False,Medium,SOURCED | LIVE≠v18(stale?),"Central Electricity Authority (CEA), ""Indian Transmission Line Cost Matrix for TBCB,"" CEA, New Delhi, India. Bhutan Power Corporation Limited (BPC), ""Power Data Book 2024,"" BPC, Th…",Indian 220/400 kV overhead unit costs
INTERCONNECTOR,cross-border-overhead,TRNBTNXXINDEA,OperationalLife,years,50.0,40,40,False,Medium,SOURCED | LIVE≠v18(stale?),"Japan International Cooperation Agency (JICA), ""Bhutan Power System Master Plan 2040,"" JICA/Ministry of Economic Affairs, Thimphu, Bhutan, 2022. [Online]. Available: https://www.ji…",Indian 220/400 kV overhead unit costs
